x,y,street_count,geometry,out_degree,in_degree
-8.6099353,41.1587311,3,POINT (-8.6099353 41.1587311),2,3
-8.6084213,41.1657008,3,POINT (-8.6084213 41.1657008),1,2
-8.6118764,41.1566275,4,POINT (-8.6118764 41.1566275),3,2
-8.6076319,41.155154,3,POINT (-8.607631899999999 41.155154),1,2
-8.6079375,41.1535829,3,POINT (-8.6079375 41.1535829),1,2
-8.6076504,41.1554359,4,POINT (-8.607650400000001 41.1554359),1,3
-8.6076897,41.1567979,3,POINT (-8.6076897 41.1567979),2,1
-8.6071936,41.157594,3,POINT (-8.6071936 41.157594),2,1
-8.6061414,41.1591748,3,POINT (-8.6061414 41.1591748),1,2
-8.6059696,41.1552163,3,POINT (-8.6059696 41.1552163),2,2
-8.6039313,41.1476365,4,POINT (-8.603931299999999 41.1476365),2,2
-8.6038217,41.1465342,3,POINT (-8.603821699999999 41.1465342),1,2
-8.602621,41.1472894,3,POINT (-8.602620999999999 41.1472894),2,1
